,source,author,title,publishedAt,sentiment
34,Cleantechnica.com,Zachary Shahan,$79–$178 EV Lease … Tesla Cybertruck’s Enormous Implications … Potential $108/kWh Tesla Battery Pack — CleanTechnica Top 20,2019-12-03T04:20:52Z,1
35,Yahoo.com,,"'Thought He Was Just Some Random Creepy Guy,' Musk Testifies In Defamation Case",2019-12-04T05:39:46Z,0
36,Yahoo.com,,"Porsche's All-Electric Model Secures 30,000 Deposits Ahead Of Its 2020 Launch",2019-12-11T11:28:45Z,1
37,Seekingalpha.com,Jeremy Raper,Taking Stock Of 2019: Idea Performance And Thesis Updates,2019-12-10T13:53:45Z,0
38,Seekingalpha.com,David H. Lerner,"Andrew Left Is Wrong, Peloton Is Not GoPro Or FitBit (Also, 2 Stocks That I Got Wrong)",2019-12-11T21:55:00Z,-1
39,Crypto Coins News,Laura Hoy,How Elon Musk Spun 2 Tesla Crashes Into a PR Coup – and a Surprising Stock Rally,2019-12-10T19:43:31Z,0
40,Crypto Coins News,Ayush Singh,Tesla (TSLA) Insiders are Not Buying Elon Musk’s Robo-Taxi Pipe Dream,2019-12-06T14:31:47Z,1
41,Electrek.co,Fred Lambert,"Tesla could deliver 200k Cybertrucks per year, says analyst as he raises TSLA target price",2019-12-03T15:39:35Z,0
42,Yahoo.com,,'I Can't Fight It Anymore': Why Cramer Likes Tesla Now,2019-12-12T13:48:03Z,1
43,Designtaxi.com,,"Elon Musk Drives Out In Cybertruck Ahead Of Its Debut, Knocks Down Traffic Pylon",2019-12-10T06:10:39Z,0
44,Yahoo.com,,"Benzinga Pro's Top 5 Stocks To Watch For Fri., Dec. 6, 2019: TSLA, ONTX, XHB, BIG, SFIX",2019-12-06T13:49:10Z,1
45,Yahoo.com,,Hedge Funds Sold Tesla Inc. (TSLA) A Bit Too Early,2019-12-04T23:15:08Z,0
46,Next Big Future,Brian Wang,Tesla China Gigafactory Seems on Track to Produce at Least 1000 Cars By End of 2019,2019-12-03T01:15:35Z,0
47,CNN,"Kerry Flynn, CNN Business",Elon Musk wins in 'pedo guy' defamation trial,2019-12-06T22:46:03Z,1
48,Nasdaq.com,,What the Tech? - Nasdaq,2019-12-11T20:41:00Z,0
49,Yahoo.com,,What the Tech? - Yahoo Finance,2019-12-11T20:41:00Z,0
50,Investors.com,Investor's Business Daily,"Dow Jones Eases, Apple Stock Slumps Ahead Of China Tariff Deadline - Investor's Business Daily",2019-12-09T18:33:00Z,0
51,Next Big Future,Brian Wang,Latest Information and Estimating 3000-4000 Tesla Shanghai Deliveries in 2019,2019-12-08T23:07:33Z,0
52,Business Insider,Carmen Reinicke,Here's why one Wall Street firm thinks 'must-own' Tesla will surge 25% over the next year (TSLA),2019-12-03T18:31:10Z,0
53,Cleantechnica.com,Zachary Shahan,"Tesla Revenue Growing Exponentially, But Critics Can’t Move On",2019-12-07T08:03:28Z,-1
54,Cleantechnica.com,Dr. Maximilian Holland,Watch Tesla Model 3 Hot Off The Production Line At Tesla Gigafactory Shanghai,2019-12-01T23:15:00Z,0
55,Cleantechnica.com,Johnna Crider,Tesla Powerwall Battery Wins Japan’s Smart Energy Excellence Award,2019-12-01T03:28:27Z,1
56,Cleantechnica.com,Johnna Crider,Tesla Could Make A Splash Or Take A Dive If It Builds A Submarine,2019-12-11T02:00:36Z,0
57,Valuewalk.com,Jacob Wolinsky,The Pedo Guy trial and Elon Musk; Tesla options trade,2019-12-03T22:55:28Z,0
58,Marketwatch.com,Andrea Riquier,"Tech innovation is changing the world, and this fund manager has big bets on how it’s going to work",2019-12-11T16:12:11Z,1
59,Forbes.com,"JJ Kinahan, Contributor, JJ Kinahan, Contributor https://www.forbes.com/sites/jjkinahan/",What a Difference A Year Makes: Fed’s Last 2019 Meeting Ends Today With Market Near Highs,2019-12-11T14:25:57Z,0
60,Seekingalpha.com,SA Editor Clark Schultz,Model Y said to be coming early,2019-12-03T20:05:40Z,0
61,Seekingalpha.com,SA Editor Clark Schultz,Tesla reaches out to Roadster owners,2019-12-04T20:08:34Z,1
62,Seekingalpha.com,SA Editor Clark Schultz,Tesla sliced up three different ways,2019-12-06T17:57:24Z,0
63,Yahoo.com,Alexandr Oleinic,Financial Advisors Laser Focused On These 5 Stocks,2019-12-04T21:38:25Z,1
64,Yahoo.com,,Jeff Bezos Named Businessperson Of The Decade: Global CFOs Survey,2019-12-12T11:39:36Z,0
65,Forbes.com,"JJ Kinahan, Contributor, JJ Kinahan, Contributor https://www.forbes.com/sites/jjkinahan/",Wall Street Is Cheering A Potential Postponement Of Extra Tariffs On Chinese Goods,2019-12-10T14:36:25Z,1
66,Business Insider,Carmen Reinicke,Here's why one Wall Street firm thinks 'must-own' Tesla will surge 25% over the next year (TSLA),2019-12-03T18:31:10Z,0
67,Seekingalpha.com,SA Editor Clark Schultz,Piper Jaffray hikes PT on Tesla,2019-12-03T13:11:42Z,0
68,Seekingalpha.com,SA Editor Yoel Minkoff,China-made Tesla cars qualify for subsidies,2019-12-06T09:43:12Z,0
69,Marketwatch.com,Associated Press,Attorney asks for $190 million in damages after Elon Musk called his client a ‘pedo guy’ - MarketWatch,2019-12-06T20:49:00Z,-1
70,Yahoo.com,,'Did Someone At 10 Downing Street Ask If You Were A Pedophile?' Musk's Lawyer To UK Caver,2019-12-06T07:06:26Z,0
71,Iphoneincanada.ca,Usman Qureshi,"Tesla Model Y Production On Track for 1,000 Vehicles Per Week Says Analyst",2019-12-12T18:57:17Z,0
72,Iphoneincanada.ca,Usman Qureshi,Piper Jaffray Expects Tesla Stock to Rise More Than 25% in 2020,2019-12-03T18:48:01Z,0
73,Seekingalpha.com,Chris Lau,"After That Mustang Mach-E Launch, 4 More Reasons Ford Shares Will Break Out",2019-12-05T21:58:32Z,1
74,Marketwatch.com,Steve Goldstein,Morgan Stanley's Jonas says the bull case on Tesla is $500 per share,2019-12-06T10:38:42Z,1
75,Marketwatch.com,Tomi Kilgore,Nio's stock rallies after 4th straight month of delivery increases,2019-12-05T12:48:14Z,1
76,Marketwatch.com,Sunny Oh,"Stocks see modest pullback at open as central banks, trade stay in focus",2019-12-09T14:38:37Z,0
77,Marketwatch.com,Michael Ashbaugh,The Technical Indicator: Bull trend intact: S&P 500 absorbs December whipsaw,2019-12-10T17:30:23Z,1
78,Yahoo.com,,"Benzinga Pro's Top 6 Stocks To Watch For Tues., Dec. 3, 2019: CARA, VRAY, LE, KOD, FXI, ROKU",2019-12-03T13:41:17Z,1
79,Freightwaves.com,Eric Kulisch,Tesla more than a tech company that makes cars - FreightWaves,2019-12-11T12:31:00Z,0
80,Cleantechnica.com,Johnna Crider,Tesla Did Zero Market Research On Cybertruck (Or Any Other New Product) — Didn’t Need To,2019-12-05T04:49:21Z,0
81,Cleantechnica.com,Zachary Shahan,Cheap EV Leases … Visions Of A Cybertruck Future … Model 3 vs. Model Y Visual Comparison — CleanTechnica Top 20 in November,2019-12-07T04:10:09Z,1
82,Seekingalpha.com,Bill Maurer,Tesla Cybertruck Peak Craziness,2019-12-01T14:58:55Z,0
83,Seekingalpha.com,Simple Investment Ideas,Enphase: Leading A Burgeoning Industry,2019-12-10T06:14:12Z,0
84,Seekingalpha.com,Beulah Meriam K,"Ball Corp., Though Still Expensive, Makes A Solid Long-Term Investment Case",2019-12-09T03:12:00Z,1
85,Seekingalpha.com,Joseph Kowaleski,Generac's Share Recalibration And The Decentralization Of Power,2019-12-03T16:58:34Z,1
86,Marketwatch.com,Emily Bary,Tesla price target hiked at Piper Jaffray: 'It's hard to find a more impactful disrupter than Tesla',2019-12-03T13:31:02Z,-1
87,Marketwatch.com,Tomi Kilgore,"Tesla stock price target raised at Citi, but it still implies a 34% drop",2019-12-04T11:49:27Z,-1
88,Business Insider,Mark Matousek,Elon Musk drove the controversial Tesla Cybertruck in Los Angeles 2 years before its planned release (TSLA),2019-12-09T15:18:04Z,-1
89,Yahoo.com,Asma UL Husna,Hedge Funds Are Warming Up To Metlife Inc (MET),2019-12-03T20:22:28Z,0
90,Business Insider,Mary Meisenzahl,"Photos showed Tesla Supercharger stations faced long lines during holiday travel, revealing a big hurdle for EV makers (TSLA)",2019-12-05T18:27:48Z,1
91,Business Insider,Matthew DeBord,Tesla is revamping its relationship with owners of the original Roadster. Here's a closer look at Tesla's first car. (TSLA),2019-12-08T14:02:00Z,0
92,Yahoo.com,,"Bulls And Bears Of The Week: Facebook, Intel, Netflix, Tesla And More",2019-12-08T14:27:46Z,0
93,Electrek.co,Fred Lambert,"Tesla Model Y production on track for 1,000 per week in mid-2020, analyst says after factory tour",2019-12-12T16:11:51Z,0
94,Seekingalpha.com,Henry Miles,Hole-In-Your-Pocket Investments: IBM And Tanger,2019-12-02T19:04:16Z,0
95,Yahoo.com,,10 Highest Paid CEOs in the World in 2019,2019-12-05T19:15:20Z,0
96,Investors.com,Investor's Business Daily,Dow Jones Rushes 340 Points Higher Thanks To These Big Winners - Investor's Business Daily,2019-12-06T17:19:00Z,1
97,Business Insider,Ben Gilbert,Elon Musk says the bizarre-looking new Cybertruck from Tesla was 'inspired by games like Halo' — here's how they compare (TSLA),2019-12-03T19:01:18Z,1
98,Businesswire.com,,"TD Ameritrade Investor Movement Index: IMX Reaches Highest Point in 2019 Amid Market Highs, Holiday Optimism",2019-12-09T17:37:50Z,1
99,CNBC,Michael Sheetz,"Tesla is 'a must own stock,' Piper Jaffray says, and will climb more than 25% next year",2019-12-03T12:48:00Z,0
